query_name	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931645_Streptococcus_pneumoniae_strain_Wilder_serotype_9a.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931648_Streptococcus_pneumoniae_strain_980_68_serotype_9v.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931646_Streptococcus_pneumoniae_strain_T9233_128_68_serotype_9l.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931647_Streptococcus_pneumoniae_strain_533_62_serotype_9n.fa
1	1	1	1	1
2	1	0	0	0
3	1	1	1	1
4	1	0	0	0
5	1	1	0	0
6	1	1	0	0
7	1	1	1	1
8	1	1	0	0
9	1	1	1	1
10	1	1	1	0
11	1	1	1	1
12	1	1	0	0
13	1	1	1	0
14	1	1	1	1
15	1	1	0	0
16	1	1	1	1
17	1	1	0	1
18	1	1	1	1
19	1	1	0	0
20	1	1	1	1
21	1	1	0	1
22	1	1	1	1
23	1	1	0	0
24	1	1	1	1
25	1	1	1	0
26	1	1	1	1
27	1	1	0	0
28	1	1	1	1
29	1	1	1	0
30	1	1	1	1
31	1	1	0	0
32	1	1	1	1
33	1	1	0	0
34	1	1	1	1
35	1	1	0	0
36	1	1	1	0
37	1	1	0	0
38	1	1	1	1
39	1	1	0	0
40	1	1	1	1
41	1	1	0	0
42	1	0	0	0
43	1	1	0	0
44	0	0	0	1
45	1	1	1	1
46	1	1	0	0
47	1	1	1	1
48	1	1	0	1
49	1	1	1	1
50	1	1	0	0
51	1	1	0	1
52	1	1	1	1
53	1	1	0	0
54	1	1	1	1
55	1	1	1	0
56	1	1	1	1
57	1	1	0	1
58	1	1	0	0
59	1	1	1	0
60	1	1	1	1
61	1	1	0	1
62	1	1	0	0
63	1	1	1	0
64	1	1	1	1
65	1	1	0	1
66	1	1	1	1
67	1	1	1	0
68	1	1	0	0
69	1	1	1	1
70	1	1	1	0
71	1	1	0	0
72	1	1	1	1
73	1	1	0	0
74	1	1	1	1
75	1	1	1	0
76	1	1	1	1
77	1	1	1	0
78	0	0	0	1
79	1	1	0	0
80	1	1	1	1
81	1	1	0	1
82	1	1	1	1
83	1	1	0	0
84	1	1	1	1
85	1	1	0	1
86	1	1	0	0
87	1	1	1	1
88	1	1	0	0
89	1	1	0	1
90	1	1	1	1
91	1	1	0	0
92	1	1	1	1
93	1	1	0	0
94	0	0	0	1
95	1	1	1	1
96	1	1	0	0
97	1	1	1	1
98	1	1	0	0
99	1	1	1	1
100	1	1	0	0
101	1	1	1	1
102	1	1	0	0
103	1	1	1	1
104	1	1	0	0
105	1	1	1	1
106	1	1	0	0
107	1	1	0	0
108	1	1	1	1
109	1	1	0	0
110	1	1	1	1
111	1	1	0	1
112	1	1	0	0
113	1	1	1	1
114	1	1	0	1
115	1	1	0	0
116	1	1	1	1
117	1	1	0	0
118	1	1	1	1
119	1	1	0	1
120	1	1	1	1
121	1	1	0	0
122	1	1	1	1
123	1	1	0	0
124	1	1	1	1
125	1	1	0	0
126	1	1	1	1
127	1	1	0	0
128	1	1	1	1
129	1	0	1	1
130	1	0	0	0
131	1	1	0	0
132	1	1	1	1
133	1	1	0	0
134	1	1	0	1
135	1	1	0	0
136	0	0	0	1
137	1	1	0	1
138	1	1	1	1
139	1	1	0	0
140	1	1	1	0
141	1	1	1	1
142	1	1	0	0
143	1	1	1	1
144	1	1	0	0
145	1	1	1	1
146	1	1	0	0
147	1	1	1	1
148	1	1	0	0
149	1	1	1	1
150	1	1	0	0
151	1	1	1	1
152	1	1	0	0
153	1	1	1	1
154	1	1	0	0
155	1	1	1	1
156	1	1	0	0
157	1	1	1	1
158	1	1	0	0
159	1	1	1	1
160	1	1	0	0
161	1	1	0	0
162	1	1	1	1
163	1	1	0	0
164	1	1	1	1
165	1	1	0	0
166	1	1	1	1
167	1	1	0	0
168	1	1	1	1
