query_name	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931662_Streptococcus_pneumoniae_strain_34359_serotype_14.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931663_Streptococcus_pneumoniae_strain_389_39_serotype_15a.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931664_Streptococcus_pneumoniae_strain_7904_39_serotype_15b.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931665_Streptococcus_pneumoniae_strain_553_62_serotype_15c.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931666_Streptococcus_pneumoniae_strain_688_63_serotype_15f.fa
1	1	1	1	1	1
2	1	1	0	0	1
3	1	1	1	1	1
4	1	1	0	0	0
5	1	0	0	0	0
6	1	1	1	1	1
7	1	1	1	1	0
8	1	1	1	1	1
9	1	0	1	1	1
10	1	1	1	1	1
11	1	0	1	1	1
12	1	0	1	1	0
13	1	0	0	0	0
14	1	1	0	0	1
15	1	1	1	1	1
16	1	0	1	1	1
17	1	0	0	0	1
18	1	1	0	0	1
19	1	0	0	0	1
20	1	0	0	0	0
21	1	0	0	0	0
22	1	1	0	0	0
23	1	1	0	0	1
24	1	1	1	1	1
25	1	0	0	0	1
26	1	0	0	0	0
27	1	0	0	0	1
28	1	0	0	0	1
29	1	1	0	0	1
30	1	1	1	1	1
31	1	0	1	1	0
32	1	0	1	1	1
33	1	0	0	0	0
34	1	1	1	1	0
35	1	1	1	1	1
36	1	0	0	0	1
37	1	0	0	0	0
38	1	1	1	1	1
39	1	0	0	0	0
40	1	1	0	0	1
41	1	1	1	1	1
42	1	1	1	1	0
43	1	0	0	0	0
44	1	1	1	1	1
45	1	1	0	0	1
46	1	1	1	1	1
47	1	1	1	1	0
48	1	1	1	1	1
49	1	1	0	0	1
50	1	1	0	0	0
51	1	1	0	0	1
52	1	0	0	0	0
53	1	1	0	0	1
54	1	1	1	1	1
55	1	1	0	0	1
56	1	1	0	0	1
57	1	1	1	1	1
58	1	0	1	1	1
59	1	0	0	0	1
60	1	1	0	0	1
61	1	1	1	1	1
62	1	1	0	0	1
63	1	1	1	1	1
64	1	1	0	0	1
65	1	1	1	1	1
66	1	1	1	1	0
67	1	1	1	1	1
68	1	1	0	0	0
69	1	0	0	0	0
70	1	0	1	1	0
71	1	1	1	1	1
72	1	1	1	1	0
73	1	1	1	1	1
74	1	1	1	1	0
75	1	1	1	1	1
76	1	0	1	1	0
77	1	0	0	0	0
78	1	0	1	1	0
79	1	1	1	1	0
80	1	0	0	0	0
81	1	0	1	1	0
82	1	0	1	1	1
83	1	0	0	0	1
84	1	1	0	0	1
85	1	1	1	1	1
86	1	0	1	1	1
87	1	1	1	1	1
88	1	0	1	1	1
89	1	1	1	1	1
90	1	0	0	0	0
91	1	1	0	0	0
92	1	1	0	0	1
93	1	1	1	1	1
94	1	0	0	0	0
95	1	0	1	1	0
96	1	0	0	0	0
97	1	1	0	0	1
98	1	1	1	1	1
99	1	0	1	1	0
100	1	0	0	0	0
101	1	1	0	0	1
102	1	0	0	0	0
103	1	1	1	1	1
104	1	1	0	0	1
105	1	1	1	1	1
106	1	0	0	0	0
107	1	1	0	0	1
108	1	1	1	1	1
109	1	0	1	1	0
110	0	0	0	0	1
111	1	0	0	0	0
