query_name	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931719_Streptococcus_pneumoniae_strain_Eddy_nr._73_serotype_46.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931658_Streptococcus_pneumoniae_strain_559_66_serotype_12a.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931659_Streptococcus_pneumoniae_strain_Gambia_1_81_serotype_12b.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931660_Streptococcus_pneumoniae_strain_6312_serotype_12f.fa	/mnt/c/Users/sth19/Documents/Genome_graph_project/genomes/Pneumo_capsular_genes/fastas/CR931717_Streptococcus_pneumoniae_strain_Hammer_serotype_44.fa
1	1	1	0	0	1
2	1	1	0	0	1
3	1	0	0	0	1
4	1	1	1	1	1
5	1	0	0	0	1
6	1	0	1	1	1
7	1	1	1	1	1
8	1	0	1	1	1
9	1	0	0	0	1
10	1	0	0	0	0
11	1	1	0	0	0
12	1	1	1	1	0
13	1	1	1	1	1
14	1	0	1	1	1
15	1	1	1	1	1
16	1	0	1	1	1
17	1	0	1	0	1
18	1	0	0	0	1
19	1	0	1	1	1
20	1	0	1	0	1
21	1	0	0	0	1
22	1	1	1	1	1
23	1	1	1	0	1
24	1	1	0	0	1
25	1	0	0	0	1
26	1	0	0	1	1
27	1	0	0	0	1
28	1	1	0	0	1
29	1	1	0	1	1
30	1	1	1	1	1
31	1	1	1	1	0
32	1	0	1	1	0
33	1	0	1	0	0
34	1	0	0	0	0
35	1	1	0	1	0
36	1	0	0	0	0
37	1	0	0	0	1
38	1	0	1	0	0
39	1	0	0	0	0
40	1	0	0	1	0
41	1	0	0	0	0
42	1	1	1	1	0
43	1	0	0	1	0
44	1	1	0	1	0
45	1	1	1	1	1
46	1	1	1	0	1
47	1	1	0	0	1
48	1	0	1	1	1
49	1	0	0	0	0
50	1	0	0	0	0
51	1	0	0	1	0
52	1	1	0	1	0
53	1	1	0	1	0
54	1	1	0	1	1
55	1	1	0	1	1
56	1	0	0	0	0
57	1	0	0	1	0
58	1	0	0	0	0
59	1	1	0	0	0
60	1	1	0	0	1
61	1	1	0	1	1
62	1	1	0	0	0
63	1	1	1	0	0
64	1	1	1	1	1
65	1	1	0	0	0
66	1	1	1	1	1
67	1	1	1	1	0
68	1	1	1	1	1
69	1	1	0	0	0
70	1	1	0	1	1
71	1	1	0	0	0
72	1	1	1	0	0
73	1	1	0	0	0
74	1	1	1	1	1
75	1	1	0	0	0
76	1	1	0	1	0
77	1	1	1	1	1
78	1	1	1	1	0
79	1	1	0	0	0
80	1	1	1	1	1
81	1	1	0	0	0
82	1	1	0	0	1
83	1	1	1	1	1
84	1	1	0	0	1
85	1	1	0	0	0
86	1	1	1	1	0
87	1	1	0	1	0
88	1	1	0	1	1
89	1	1	1	1	1
90	1	1	1	0	1
91	1	1	1	1	1
92	1	1	1	0	0
93	1	1	1	1	1
94	1	1	0	1	1
95	1	1	0	1	0
96	1	1	0	1	1
97	1	1	1	1	1
98	1	1	1	1	0
99	1	1	1	1	1
100	1	1	0	0	0
101	1	1	1	1	1
102	1	1	0	0	0
103	1	1	0	0	0
104	1	1	1	1	1
105	1	1	0	0	0
106	1	1	0	1	1
107	1	1	0	0	0
108	1	1	1	1	1
109	1	1	1	0	0
110	1	1	1	1	1
111	1	1	1	0	0
112	1	1	1	1	1
113	1	1	1	0	0
114	1	0	0	0	0
115	1	1	0	0	0
116	1	1	1	1	1
117	1	1	1	0	0
118	1	1	1	1	1
119	1	1	0	0	0
120	1	1	1	1	1
121	1	1	0	0	0
122	1	1	1	1	1
123	1	1	1	0	0
124	1	1	1	1	1
125	1	1	0	0	0
126	1	1	1	1	1
127	1	1	0	0	0
128	1	1	1	1	1
129	1	1	1	1	0
130	1	1	1	0	0
131	1	1	1	1	1
132	1	1	1	0	0
133	1	1	1	1	1
134	1	1	0	0	0
135	1	1	1	1	1
136	1	1	1	0	0
137	1	1	1	1	1
138	1	1	0	0	0
139	1	0	0	0	0
140	1	1	0	0	0
141	1	1	1	1	1
142	1	1	1	0	0
143	1	1	1	1	1
144	1	1	1	0	0
145	1	1	1	1	1
146	1	1	1	0	0
147	1	1	0	0	0
148	1	1	1	1	1
149	1	1	1	0	0
150	1	1	1	1	1
151	1	1	1	0	0
152	1	1	1	1	1
153	1	1	1	0	0
154	1	1	1	1	1
155	1	1	1	0	0
156	1	1	1	1	1
157	1	1	1	0	0
158	1	1	1	1	1
159	1	1	1	0	0
160	1	1	1	1	1
161	1	1	0	1	1
162	1	1	1	1	1
163	1	1	0	0	0
164	1	1	1	1	1
165	1	1	1	0	0
166	1	1	1	1	1
167	1	1	0	0	0
168	1	1	1	1	1
169	1	1	0	0	0
170	1	1	1	1	1
171	1	1	0	0	0
172	1	0	0	0	0
173	1	1	0	0	0
174	1	1	1	1	1
175	1	1	0	0	0
176	1	1	1	1	1
177	1	1	0	0	0
178	1	1	1	1	1
179	1	1	0	0	0
180	1	1	1	1	1
181	1	1	0	0	0
182	1	1	1	1	1
183	1	1	0	0	0
184	1	1	1	1	1
185	1	1	0	0	0
186	1	1	1	1	1
187	1	1	0	0	0
188	1	1	0	0	0
189	1	1	1	1	1
